City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,illapel,-31.6308,-71.1653,10.8,72,70,0.87,CL,1730693811
158,chul'man,56.8479,124.9104,-10.54,85,100,1.75,RU,1730693834
159,eagle point,42.4726,-122.8028,7.01,85,0,0.45,US,1730693835
160,tsetserleg,47.475,101.4542,-1.28,37,0,2.06,MN,1730693837
161,tobelo,1.7284,128.0095,28.8,75,100,2.34,ID,1730693839
162,ilulissat,69.2167,-51.1,-2.99,74,100,4.12,GL,1730693841
163,klyuchi,52.2667,79.1667,9.16,65,68,8.88,RU,1730693842
164,mount isa,-20.7333,139.5,37.87,19,40,3.09,AU,1730693844
165,kaa-khem,51.6833,94.7333,-0.2,48,61,1.19,RU,1730693845
166,broken hill,-31.95,141.4333,27.78,26,2,5.48,AU,1730693194
167,corn island,12.1694,-83.0418,28.01,78,12,3.92,NI,1730693849
168,aginskoye,51.1,114.53,-2.9,43,77,7.25,RU,1730693851
169,mejit,10.2753,170.8646,27.25,74,100,1.42,MH,1730693852
170,lompoc,34.6391,-120.4579,13.85,82,0,3.6,US,1730693853
171,atafu village,-8.5421,-172.5159,28.33,75,95,5.34,TK,1730693426
172,santa ana,33.7456,-117.8678,17.86,64,0,1.54,US,1730693762
173,al mahwit,15.4701,43.5448,14.74,51,0,1.58,YE,1730693857
174,margaret river,-33.95,115.0667,17.64,55,14,4.73,AU,1730693858
175,tamanrasset,22.785,5.5228,13.95,41,0,1.54,DZ,1730693859
176,nova vicosa,-17.8919,-39.3719,23.46,84,100,2.55,BR,1730693612
177,ancud,-41.8697,-73.8203,8.83,86,91,8.14,CL,1730693862
178,guerrero negro,27.9769,-114.0611,17.98,59,68,7.37,MX,1730693380
179,fort st. john,56.2499,-120.8529,2.94,65,75,6.17,CA,1730693833
180,pisco,-13.7,-76.2167,18.34,88,0,3.09,PE,1730693867
181,ichinohe,40.2069,141.3017,16.85,44,0,4.35,JP,1730693868
182,mikun',62.3547,50.0771,-4.27,83,34,4.11,RU,1730693869
183,lorengau,-2.0226,147.2712,28.98,72,50,3.38,PG,1730693871
184,baruun-urt,46.6806,113.2792,-2.18,42,2,7.75,MN,1730693872
185,tynda,55.1667,124.7167,-7.27,67,29,2.14,RU,1730693873
186,codrington,-38.2667,141.9667,16.51,59,69,8.27,AU,1730693538
187,longyearbyen,78.2186,15.6401,-1.09,74,40,4.12,SJ,1730693875
188,metro,-5.1131,105.3067,24.82,87,100,4.24,ID,1730693877
189,victoria,22.2855,114.1577,29.68,70,82,2.68,HK,1730693712
190,liberty,31.8335,-81.5004,21.1,1,29,3.1,US,1730693880
191,nova sintra,14.8667,-24.7167,25.94,78,13,8.01,CV,1730693744
192,jinghong,21.991,100.7341,27.23,47,0,1.58,CN,1730693883
193,camargo,27.6667,-105.1667,18.27,31,0,9.12,MX,1730693884
